Orden,DNI,Apellido_Paterno,Apellido_Materno,Nombres,Edad,Direccion,Celular,Correo,Ingreso_Anual,Genero,Estado_Civil,Nivel_Educativo,Ocupacion,Fecha_Nacimiento,Nacionalidad,Provincia,Distrito,Centro_Medico,Tipo_Seguro,Fecha_Registro,Historial_Medico,Medicamentos_Recetados,Citas_Anuales,Peso,Altura,IMC,Presion_Arterial,Frecuencia_Cardiaca,Frecuencia_Respiratoria,Temperatura,Grupo_Sanguineo,Factor_RH,Alergias,Cirugias,Vacunas_Al_Dia,Pruebas_Laboratorio,Ultima_Visita,Dias_Hospitalizacion,Horas_Ejercicio_Semanal,Consumo_Alcohol,Tabaquismo,Dieta_Saludable,Nivel_Estres,Nivel_Satisfaccion,Costo_Citas_Anuales,Costo_Tratamiento,Costo_Medicamentos,Satisfaccion_Servicio
27,22425045,Dean,Reyes,Danielle,30,"468 Rebekah Road
North Betty, KY 74792",+51 925492573,bcrane@example.com,42227,Femenino,Viudo,Técnico,Systems developer,1965-08-20,Svalbard & Jan Mayen Islands,Montana,Lake Robert,Clínica Salud,Privado,2024-11-28,Hipertensión,0,2,66.0,1.9,30.0,130/65,69,20,37.5,O,+,Ninguna,2,No,0,2024-08-09,0,10,Frecuente,Sí,Sí,1,1,1924,6619,826,1
28,35706849,Brown,Moran,Melissa,63,"PSC 4953, Box 2541
APO AA 63054",+51 924366125,mjames@example.org,14855,Femenino,Casado,Técnico,Brewing technologist,1999-02-09,Western Sahara,Oklahoma,Rodriguezfort,Hospital Central,Público,2024-06-19,Cardiopatía,3,9,53.2,1.94,39.8,138/63,76,13,38.8,O,-,Polen,1,No,7,2024-09-29,11,2,Ninguno,Sí,No,7,3,811,7111,4226,1
29,26842585,Sanchez,Bowman,Michelle,59,"299 Jared Crescent Suite 464
Whitefort, PA 86908",+51 984252420,osawyer@example.org,47815,Femenino,Casado,Universitario,IT technical support officer,1964-10-16,Cyprus,South Carolina,Michaelchester,Clínica Salud,Privado,2022-12-08,Diabetes,1,5,98.4,1.62,25.7,128/84,67,12,37.9,O,+,Polen,1,No,0,2024-02-01,14,10,Ninguno,No,Sí,6,2,436,6524,4874,4
30,16482672,Bowman,Hull,Matthew,62,"631 Fleming Bridge
Rhodesfort, NM 42567",+51 930863865,juan05@example.com,13513,Masculino,Casado,Universitario,"Embryologist, clinical",1974-04-27,Liechtenstein,Wisconsin,Deborahchester,Hospital Central,Privado,2024-05-03,Ninguno,4,9,91.0,1.65,25.0,100/77,80,17,38.1,O,+,Ninguna,0,Sí,5,2024-05-11,11,1,Ninguno,No,Sí,7,10,1437,1044,1978,2
31,12233204,Brooks,Curtis,Brittney,52,"88381 Alicia Turnpike
Loganhaven, PR 88140",+51 946553958,scott11@example.org,19943,Femenino,Divorciado,Universitario,Radiation protection practitioner,2006-04-23,Belarus,Arizona,South Alexis,Centro Médico Familiar,Privado,2022-08-26,Hipertensión,1,10,59.5,1.6,19.7,110/87,62,16,37.4,AB,+,Alimentos,2,Sí,3,2024-10-08,13,6,Frecuente,Sí,Sí,3,3,1044,2713,4815,4
32,29550777,Miller,Jones,George,44,"599 Thompson Plain Suite 124
Davidland, AZ 43912",+51 947816686,jessewatson@example.org,19777,Femenino,Soltero,Secundaria,Multimedia programmer,1944-11-04,Namibia,West Virginia,Shieldsshire,Centro Médico Familiar,Privado,2021-10-01,Cardiopatía,1,6,84.2,1.56,39.9,110/86,68,20,36.6,O,+,Alimentos,0,Sí,4,2024-09-01,6,9,Ocasional,No,Sí,6,4,983,8910,2374,1
33,83950311,Vaughn,Gates,Linda,32,"1521 Gerald Mill Apt. 283
Hillchester, AK 34695",+51 991178885,qperez@example.com,46886,Femenino,Soltero,Técnico,Electronics engineer,1982-09-28,Latvia,South Carolina,Reedstad,Hospital Central,Mixto,2020-01-01,Hipertensión,5,6,88.3,1.73,32.4,133/85,91,17,37.4,O,-,Alimentos,3,Sí,9,2024-11-15,6,10,Ocasional,No,Sí,10,8,969,9209,100,3
34,46834430,Harper,Romero,Christopher,46,"0901 Hicks Fall Apt. 489
Tinamouth, MA 98829",+51 938270233,jonestimothy@example.net,29912,Femenino,Casado,Secundaria,Air cabin crew,1965-09-03,Monaco,Maryland,New Dianaberg,Hospital Central,Privado,2023-02-04,Cardiopatía,3,5,57.7,1.9,26.4,109/68,77,13,38.3,AB,+,Medicamentos,3,Sí,6,2024-11-18,12,6,Ocasional,Sí,No,1,9,813,4304,3598,2
35,96054057,Mathews,Perry,Ronald,55,"9953 Jones Camp
Brianberg, LA 97494",+51 956020613,austinreynolds@example.org,15582,Femenino,Viudo,Secundaria,Artist,1967-11-21,Lesotho,New Jersey,Gamblefurt,Centro Médico Familiar,Privado,2021-07-11,Diabetes,4,4,64.2,1.87,36.8,133/82,83,12,38.4,A,-,Medicamentos,2,Sí,7,2024-10-23,11,6,Ocasional,No,No,5,6,965,4458,2958,1
36,61243473,Brown,Smith,Lori,35,"198 Webb Curve
New Mikaylaport, MP 13136",+51 937326368,jeffreyramos@example.org,26265,Masculino,Casado,Universitario,"Teacher, English as a foreign language",1972-09-10,Reunion,Georgia,Edwardmouth,Centro Médico Familiar,Mixto,2023-01-15,Hipertensión,2,10,70.5,1.6,25.8,134/71,87,13,38.4,O,+,Polen,2,Sí,8,2024-10-29,5,6,Ninguno,No,No,6,9,248,3421,3023,2
37,13391866,Raymond,Henry,Shirley,69,"684 Murray Grove
Maddenbury, LA 08957",+51 995125977,adam67@example.com,17762,Femenino,Casado,Secundaria,"Producer, television/film/video",1957-06-23,France,South Carolina,Krauseport,Hospital Central,Público,2021-09-03,Cardiopatía,5,4,66.1,1.81,36.6,96/77,78,19,37.1,A,-,Alimentos,1,No,2,2024-06-20,0,3,Frecuente,Sí,No,10,5,844,6447,3805,2
38,93536253,White,Goodwin,Marc,73,"962 Thomas Ways
Kingburgh, CO 73031",+51 945431319,wigginsbryan@example.org,46573,Masculino,Viudo,Primaria,Occupational psychologist,1985-09-06,North Macedonia,Michigan,Rodriguezfurt,Centro Médico Familiar,Privado,2020-12-28,Hipertensión,1,8,54.8,1.71,34.8,127/71,76,16,37.2,A,-,Polen,1,No,7,2024-11-14,6,10,Ninguno,No,No,10,8,1197,9273,4657,3
39,86829134,Stewart,Simpson,Tammy,18,"3732 Maria Views Apt. 739
New Timothymouth, WY 41117",+51 977834855,ojones@example.net,37274,Masculino,Casado,Primaria,IT sales professional,1963-10-24,India,Iowa,Natashashire,Centro Médico Familiar,Público,2022-05-25,Cardiopatía,2,7,82.9,1.52,24.7,99/60,99,12,38.5,O,-,Medicamentos,0,No,4,2024-01-31,14,0,Frecuente,No,Sí,1,2,606,5480,1445,3
40,73265392,Robertson,Andrews,Christine,66,"9984 Smith Courts Apt. 702
West Danachester, MN 15923",+51 975569635,william55@example.com,49735,Masculino,Viudo,Primaria,Museum education officer,1960-05-05,Bangladesh,New Mexico,Chanborough,Hospital Central,Mixto,2022-07-21,Ninguno,5,10,52.2,1.67,22.9,98/76,76,19,36.0,B,+,Ninguna,3,Sí,1,2024-02-03,11,9,Ocasional,Sí,No,9,3,1736,9697,320,3
41,74125355,Clark,Atkins,Ashley,69,"60884 Jessica Club
East Ryanbury, AZ 45610",+51 943704923,agarcia@example.com,49067,Masculino,Viudo,Primaria,Music therapist,1981-01-22,Turkmenistan,South Dakota,Davidtown,Clínica Salud,Privado,2023-09-01,Cardiopatía,5,1,96.9,1.9,30.4,108/71,93,17,36.0,B,-,Alimentos,3,Sí,1,2024-02-06,6,3,Ninguno,Sí,No,1,10,232,7401,898,1
42,89928210,Kelley,Chavez,Brian,28,"0953 Suzanne Fords Suite 935
South Alexander, PA 10280",+51 916818112,charlessalazar@example.net,24790,Femenino,Soltero,Primaria,Water engineer,1988-11-19,Malta,New Mexico,Alexisshire,Clínica Salud,Privado,2021-01-24,Cardiopatía,5,5,58.9,1.61,39.3,139/75,80,15,37.1,O,+,Polen,0,Sí,7,2024-02-27,0,2,Frecuente,Sí,No,3,7,641,9662,4783,4
43,48064201,Moore,Cochran,Jeffrey,62,"899 Rebecca Islands
Joshuatown, CO 90323",+51 922388090,skinnerjoseph@example.net,44247,Masculino,Viudo,Universitario,"Scientist, research (physical sciences)",1996-10-13,Solomon Islands,Indiana,Jeromeville,Centro Médico Familiar,Público,2022-12-29,Cardiopatía,2,3,51.6,1.82,32.7,116/70,87,20,37.7,AB,-,Polen,2,Sí,6,2024-06-24,9,9,Ocasional,No,No,8,2,1091,4222,274,5
44,28133677,Velazquez,Boyd,Chelsea,45,"709 Trevor Shoals Suite 187
East Jillmouth, AS 99395",+51 995132217,bholmes@example.net,34928,Femenino,Casado,Secundaria,"Programme researcher, broadcasting/film/video",1997-09-14,Lithuania,Maine,Johnside,Hospital Central,Mixto,2021-09-28,Cardiopatía,0,7,55.4,1.85,24.9,100/63,70,15,36.4,AB,+,Alimentos,3,No,7,2024-06-25,10,9,Ninguno,Sí,No,2,9,1787,8126,2354,5
45,41528198,Vance,Luna,Jennifer,39,"373 Rhodes Vista
Port Danielleville, ME 46449",+51 966851377,raymond97@example.net,39524,Masculino,Viudo,Secundaria,Land,1954-01-25,United Kingdom,South Carolina,North Davidtown,Centro Médico Familiar,Privado,2021-10-12,Ninguno,4,9,59.6,1.63,26.9,103/64,80,17,37.3,O,+,Ninguna,0,No,4,2024-01-17,3,8,Frecuente,No,Sí,2,1,1507,1645,1677,2
46,29115813,Marsh,Shelton,David,35,"57202 Fisher Expressway Apt. 230
Beanfort, MI 32141",+51 947135391,ohudson@example.com,39014,Masculino,Casado,Primaria,Heritage manager,1962-01-12,Morocco,Montana,Contrerasbury,Centro Médico Familiar,Público,2020-06-21,Diabetes,4,2,51.6,1.53,20.8,122/67,91,16,37.9,AB,-,Polen,0,Sí,1,2024-02-08,11,1,Ocasional,No,No,3,4,1736,8453,1509,4
47,62030749,Sanchez,Chambers,Joseph,27,"9654 Allen Track
Stephanieshire, VI 66602",+51 915917225,frederickevans@example.com,29487,Femenino,Viudo,Secundaria,Community education officer,1996-11-10,Barbados,Idaho,Jennyside,Hospital Central,Privado,2024-08-01,Ninguno,1,9,82.1,1.65,33.3,102/85,69,16,38.7,A,-,Alimentos,3,Sí,2,2024-08-03,8,9,Frecuente,No,No,3,4,501,9964,1385,5
48,90431358,Jones,Perez,Regina,31,"344 Pacheco Throughway Apt. 509
Lake Jenny, IL 84975",+51 910475894,stephanie16@example.org,48569,Masculino,Soltero,Primaria,Hydrographic surveyor,1945-12-23,Greenland,New Mexico,Port Cory,Clínica Salud,Privado,2023-03-11,Diabetes,0,2,69.4,1.77,29.0,125/79,95,14,37.1,O,-,Polen,1,No,4,2024-05-04,0,9,Ocasional,Sí,Sí,2,3,1121,5754,2018,1
49,38616354,Hudson,Hughes,Renee,79,"67860 Vasquez Knolls Apt. 179
North Chelsea, DE 54652",+51 954769200,hdavis@example.com,38103,Femenino,Casado,Secundaria,Actuary,1988-03-07,Kazakhstan,Washington,Port Joshua,Centro Médico Familiar,Privado,2021-02-06,Diabetes,0,9,74.5,1.88,37.5,134/86,100,18,38.9,O,-,Ninguna,2,Sí,10,2024-09-10,8,6,Ocasional,Sí,Sí,9,5,1971,9827,470,4
50,34184237,Meyers,Massey,Jennifer,66,"662 Jackson Viaduct Apt. 985
Port Tammy, VI 46514",+51 927558317,markkaiser@example.org,30013,Femenino,Casado,Universitario,"Teacher, primary school",1950-08-09,Cote d'Ivoire,Nevada,Josephberg,Centro Médico Familiar,Mixto,2023-08-07,Ninguno,0,5,81.2,1.56,27.9,123/87,88,20,36.6,B,-,Alimentos,3,Sí,1,2024-12-04,1,0,Frecuente,No,No,3,3,1409,8478,1569,4
51,23564557,Murphy,Thompson,Anthony,39,"179 Thomas Trafficway
Lake James, GU 21928",+51 995511909,rjordan@example.org,47265,Femenino,Casado,Técnico,Media planner,1964-06-30,Luxembourg,Alaska,Kristinstad,Clínica Salud,Mixto,2023-02-25,Hipertensión,4,6,79.5,1.67,22.6,124/82,63,15,36.9,B,+,Alimentos,1,Sí,5,2024-09-04,8,5,Ocasional,No,Sí,4,7,1818,1729,1704,4
52,82263591,Rose,Howard,Theresa,24,"Unit 6119 Box 3591
DPO AE 77255",+51 945159040,tinadiaz@example.com,13947,Masculino,Viudo,Primaria,Media buyer,1989-04-12,Saint Martin,Pennsylvania,South Elizabethville,Hospital Central,Privado,2023-08-13,Diabetes,4,2,52.5,1.7,19.3,125/82,72,13,36.7,O,+,Medicamentos,0,No,1,2024-09-08,15,9,Frecuente,No,No,2,1,1753,5661,1812,5
53,12767323,Duncan,Barnett,Heather,23,"USNV Sawyer
FPO AE 69334",+51 931687165,stevecrawford@example.net,49952,Femenino,Soltero,Universitario,Chiropractor,1974-08-18,Saint Helena,Utah,South Michael,Hospital Central,Privado,2023-03-22,Ninguno,3,9,61.0,1.78,19.0,138/85,69,17,36.8,A,-,Alimentos,2,No,3,2024-08-25,12,3,Ninguno,No,No,6,6,1734,6449,1719,2
54,60693933,Garcia,Morales,Brandon,42,"51051 Sean Mount
Port Gregory, SD 54313",+51 969302158,tommymosley@example.net,16503,Femenino,Soltero,Universitario,"Conservation officer, nature",1963-03-05,Morocco,California,North Brianburgh,Hospital Central,Mixto,2024-09-03,Cardiopatía,4,5,85.9,1.98,39.9,97/73,63,20,36.5,AB,+,Alimentos,0,Sí,1,2024-09-18,1,2,Frecuente,No,Sí,6,1,486,1293,1186,5
55,10101196,Lopez,Johnson,Mikayla,24,"81368 Smith Dale
Samuelchester, TN 82207",+51 984045292,timothyward@example.org,23617,Femenino,Soltero,Primaria,Air traffic controller,1999-03-05,Tunisia,Delaware,West Ryan,Hospital Central,Público,2023-06-20,Ninguno,4,9,50.7,1.92,23.6,119/89,74,15,38.5,A,-,Polen,0,Sí,5,2024-10-22,8,9,Ninguno,No,No,6,9,1529,7673,2516,2
56,95450085,Maxwell,Nichols,Dawn,40,"60349 Stone Path Suite 808
East Jade, PA 51025",+51 967403166,pparker@example.com,23829,Masculino,Soltero,Primaria,Financial controller,1983-10-27,Uzbekistan,New Jersey,Quinnburgh,Hospital Central,Privado,2024-07-29,Diabetes,0,10,96.1,1.6,26.9,94/63,71,17,36.7,B,+,Ninguna,3,No,2,2024-09-18,8,10,Frecuente,No,Sí,2,1,1825,2028,3875,5
57,93057718,Hernandez,Villa,Curtis,72,"474 Amanda Square Apt. 411
Franklinville, ND 25313",+51 985283645,sara86@example.com,27343,Masculino,Viudo,Universitario,Environmental manager,1987-04-23,Lao People's Democratic Republic,Oregon,Amandatown,Centro Médico Familiar,Público,2024-04-14,Hipertensión,2,5,82.8,1.92,35.5,98/89,62,19,36.6,AB,-,Medicamentos,2,Sí,8,2024-03-19,1,7,Ninguno,Sí,No,7,2,818,8774,601,3
58,65215207,Brown,Myers,Hailey,40,"3089 Skinner Crossroad Suite 386
Shannonmouth, MI 22620",+51 911297845,michaellee@example.com,15320,Masculino,Casado,Primaria,Associate Professor,1991-07-22,Haiti,South Dakota,Elizabethbury,Centro Médico Familiar,Mixto,2023-03-30,Hipertensión,1,8,96.4,1.96,32.3,91/75,90,13,36.5,O,-,Alimentos,1,No,5,2024-02-29,0,10,Frecuente,Sí,No,6,9,1011,7836,3782,3
