Orden,DNI,Apellido_Paterno,Apellido_Materno,Nombres,Edad,Direccion,Celular,Correo,Ingreso_Anual,Genero,Estado_Civil,Nivel_Educativo,Ocupacion,Fecha_Nacimiento,Nacionalidad,Provincia,Distrito,Centro_Medico,Tipo_Seguro,Fecha_Registro,Historial_Medico,Medicamentos_Recetados,Citas_Anuales,Peso,Altura,IMC,Presion_Arterial,Frecuencia_Cardiaca,Frecuencia_Respiratoria,Temperatura,Grupo_Sanguineo,Factor_RH,Alergias,Cirugias,Vacunas_Al_Dia,Pruebas_Laboratorio,Ultima_Visita,Dias_Hospitalizacion,Horas_Ejercicio_Semanal,Consumo_Alcohol,Tabaquismo,Dieta_Saludable,Nivel_Estres,Nivel_Satisfaccion,Costo_Citas_Anuales,Costo_Tratamiento,Costo_Medicamentos,Satisfaccion_Servicio
11,74783725,Pierce,Wilson,Ashley,61,"Unit 5986 Box 1509
DPO AP 55611",+51 945351479,samanthabanks@example.net,23969,Masculino,Casado,Primaria,Health promotion specialist,1952-08-19,Korea,South Carolina,West Brandon,Centro Médico Familiar,Privado,2020-09-25,Hipertensión,0,1,89.8,1.71,39.2,129/88,67,12,37.8,B,+,Ninguna,3,No,10,2024-06-07,9,5,Frecuente,Sí,Sí,9,3,1296,2442,4465,3
12,85836238,Williamson,Howard,Anthony,65,"799 Mary Locks Apt. 406
Port Theodore, IN 32798",+51 977187530,zphillips@example.org,43153,Masculino,Viudo,Universitario,Medical sales representative,1967-02-10,Cayman Islands,New Jersey,Stevensside,Clínica Salud,Público,2024-04-12,Diabetes,5,3,63.7,1.88,31.1,102/74,97,18,38.8,O,+,Ninguna,3,No,10,2024-10-11,14,9,Ninguno,Sí,Sí,2,10,935,5934,2494,5
13,34050579,Harris,Garcia,Jill,75,"180 Jacob Track Suite 921
Clarkeburgh, MD 99745",+51 933978249,huangjoyce@example.org,27380,Masculino,Casado,Primaria,"Investment banker, corporate",1977-02-17,Afghanistan,California,North Barryport,Hospital Central,Mixto,2021-08-17,Cardiopatía,2,8,56.1,1.94,34.7,127/73,84,16,38.3,A,-,Polen,2,No,7,2024-04-05,4,3,Ocasional,No,Sí,7,1,882,6699,3802,3
14,30770015,Myers,Hawkins,Brandon,52,"1327 Lara Mill Suite 923
Brittanyfurt, VI 48983",+51 978139880,sarah55@example.org,18680,Femenino,Viudo,Universitario,"Scientist, product/process development",1980-06-07,Afghanistan,Montana,Thompsonport,Hospital Central,Mixto,2021-04-05,Ninguno,4,7,83.8,1.51,33.8,114/60,82,13,38.5,O,-,Ninguna,0,Sí,9,2024-03-01,4,5,Frecuente,No,No,2,5,1596,7861,3115,4
15,23767530,Wilson,Bishop,Jennifer,23,"8397 Acevedo Causeway Suite 309
Port Anthony, HI 30072",+51 924282218,kevin25@example.org,32872,Masculino,Casado,Primaria,Multimedia specialist,1985-03-02,France,Maine,Rodrigueztown,Clínica Salud,Mixto,2022-09-29,Cardiopatía,3,8,69.0,1.6,27.1,135/66,87,15,38.6,AB,+,Medicamentos,3,Sí,0,2024-04-19,5,1,Frecuente,No,No,6,10,820,1074,637,5
16,88816972,Robinson,Fox,Mary,55,"87223 Curry Ramp
Phillipsstad, AK 69967",+51 993926371,mmayer@example.net,14508,Femenino,Viudo,Secundaria,Clothing/textile technologist,1970-11-23,Singapore,Delaware,Kendraview,Hospital Central,Público,2021-10-21,Hipertensión,2,8,99.0,1.55,20.2,103/68,80,20,38.9,B,+,Medicamentos,0,No,8,2024-06-18,0,10,Ninguno,No,No,9,1,1020,4860,1642,4
17,43959138,White,Gregory,Michael,45,"USNV Bolton
FPO AP 08042",+51 950056581,groberts@example.net,26009,Femenino,Soltero,Universitario,Physiotherapist,1994-11-26,Iraq,Illinois,Davisland,Hospital Central,Mixto,2020-03-24,Diabetes,5,4,90.9,1.52,22.0,138/82,68,15,37.1,A,-,Medicamentos,0,Sí,0,2024-07-02,1,8,Ninguno,Sí,No,2,5,313,4144,3850,2
18,76137440,Gaines,Johnson,Brett,20,"5235 Joshua Pike Apt. 423
Port Brenda, PW 61189",+51 995758349,moorecassie@example.net,34217,Femenino,Casado,Secundaria,"Engineer, petroleum",1954-05-20,Iceland,Tennessee,Lake Jamesside,Centro Médico Familiar,Mixto,2024-11-06,Ninguno,0,6,97.7,1.8,23.7,140/62,75,18,38.8,O,-,Medicamentos,0,Sí,7,2024-04-28,11,6,Ninguno,Sí,No,5,8,1494,2925,815,1
19,97120394,Benson,Foster,James,19,"PSC 9265, Box 3117
APO AP 98869",+51 978137358,kennethjackson@example.org,28676,Femenino,Viudo,Primaria,"Clinical scientist, histocompatibility and immunogenetics",1999-04-11,Jamaica,Wyoming,Leestad,Clínica Salud,Público,2022-01-13,Cardiopatía,0,10,90.2,1.85,36.4,126/63,77,19,37.2,AB,+,Ninguna,0,No,5,2024-04-18,10,3,Frecuente,Sí,No,9,2,1525,9686,756,1
20,89429976,Rios,Matthews,Tanya,23,"Unit 5714 Box 9125
DPO AA 40882",+51 991734598,mcclurejennifer@example.net,20338,Femenino,Soltero,Universitario,Land/geomatics surveyor,1957-04-12,Wallis and Futuna,North Dakota,New Jeremy,Centro Médico Familiar,Privado,2020-03-11,Diabetes,5,3,64.5,1.52,26.9,124/65,65,12,36.3,AB,+,Ninguna,0,Sí,9,2024-04-14,15,8,Frecuente,Sí,Sí,8,3,385,2567,3300,2
21,15811080,Moore,Avila,Martha,31,"237 Thompson Parkway Suite 781
Leachfort, SC 85804",+51 936697396,unguyen@example.net,38716,Masculino,Soltero,Técnico,Art gallery manager,1992-11-14,Sao Tome and Principe,Montana,Port Timborough,Hospital Central,Privado,2020-04-10,Cardiopatía,5,6,64.4,1.87,37.8,113/70,75,14,36.9,A,+,Polen,2,No,5,2024-10-30,14,10,Ocasional,Sí,No,7,9,948,6929,1564,3
22,40518630,Weber,Williams,Nathan,32,"26190 Shea Meadows
Mullinschester, UT 73624",+51 930513739,qrodriguez@example.org,45600,Femenino,Viudo,Técnico,"Surveyor, building control",1987-07-10,American Samoa,Pennsylvania,Lake Bonnieton,Centro Médico Familiar,Público,2021-03-21,Cardiopatía,3,6,85.7,1.7,25.6,102/74,95,16,36.4,AB,-,Alimentos,0,No,7,2024-10-14,8,7,Ocasional,No,No,10,2,1294,9842,2462,3
23,60935479,Terry,Lawrence,Nichole,50,"9312 John River Apt. 940
Rileyfurt, AS 82209",+51 960185867,garysanchez@example.net,29825,Femenino,Casado,Universitario,"Engineer, electrical",1957-07-08,Malawi,New York,South Lisaland,Hospital Central,Mixto,2023-02-02,Hipertensión,2,6,67.3,1.62,34.7,97/68,98,13,36.5,AB,-,Polen,2,Sí,9,2024-02-08,14,8,Frecuente,Sí,No,7,5,1947,9315,730,4
24,28377538,Marquez,Cowan,Alice,56,"72968 Roger Plain
Port Nicholas, IL 76470",+51 931682744,grahamrachel@example.com,44664,Femenino,Divorciado,Primaria,"Designer, industrial/product",1975-05-18,Mauritius,New Mexico,Danamouth,Clínica Salud,Privado,2020-06-09,Hipertensión,4,7,72.1,1.61,21.5,132/87,98,12,38.8,AB,-,Alimentos,2,Sí,4,2024-04-25,4,2,Frecuente,No,Sí,4,5,896,4592,995,1
25,18827192,Delgado,King,Lisa,19,"6560 Carrie View Apt. 265
South Shawn, HI 54639",+51 982394227,hkelley@example.com,10512,Masculino,Soltero,Técnico,"Radiographer, diagnostic",1944-05-06,Tonga,New Jersey,Port Robertton,Clínica Salud,Privado,2024-03-23,Cardiopatía,5,3,62.8,1.93,39.8,121/76,98,15,38.4,AB,-,Ninguna,0,No,7,2024-04-18,5,9,Frecuente,Sí,Sí,10,3,364,8605,1449,3
26,34792434,Dean,Mills,Connie,53,"Unit 0414 Box 7751
DPO AE 93134",+51 981182864,david98@example.com,46346,Femenino,Soltero,Universitario,Brewing technologist,1971-12-26,Brunei Darussalam,Pennsylvania,Bethfurt,Clínica Salud,Privado,2020-07-17,Ninguno,5,6,74.0,1.53,34.1,130/70,78,20,38.9,O,-,Medicamentos,2,No,2,2024-06-01,14,4,Ninguno,Sí,No,4,10,1922,4409,2360,4
27,73834558,Smith,Sandoval,Diamond,30,"047 Kimberly Squares Suite 298
Bradshawberg, AR 41648",+51 910076758,lisawyatt@example.org,29620,Femenino,Viudo,Técnico,Exercise physiologist,2003-03-16,Greenland,New Jersey,Shannonland,Centro Médico Familiar,Público,2020-08-02,Hipertensión,1,9,60.1,1.75,29.3,128/72,61,18,37.9,A,+,Polen,3,Sí,8,2024-05-06,13,5,Ninguno,No,Sí,9,5,1141,5528,1017,2
28,43842078,Simpson,Roth,Tracey,63,"077 Smith Extensions Suite 495
Hicksshire, NY 96537",+51 990388981,gonzalezyolanda@example.org,16788,Masculino,Divorciado,Universitario,"Surveyor, planning and development",1983-06-10,Guinea-Bissau,Maryland,Melissaville,Centro Médico Familiar,Privado,2022-05-13,Hipertensión,0,9,76.9,1.64,39.4,129/72,79,17,36.5,B,-,Polen,3,Sí,4,2024-04-02,9,6,Ocasional,Sí,Sí,3,5,1757,1869,1312,4
29,47857291,Ibarra,Flores,Lindsey,59,"341 Jamie Mount Suite 816
Woodchester, PA 40095",+51 953507489,ylane@example.org,18800,Femenino,Divorciado,Primaria,"Investment banker, operational",1952-07-29,South Georgia and the South Sandwich Islands,South Carolina,New Randall,Hospital Central,Privado,2023-02-25,Hipertensión,1,2,96.7,1.91,19.7,127/63,73,19,38.9,B,-,Ninguna,3,Sí,6,2024-03-04,11,10,Ocasional,Sí,Sí,8,5,1769,4173,4165,2
30,37698550,Bryan,Velasquez,Christopher,62,"408 Belinda Mission Suite 708
West Gregory, TN 75589",+51 975579548,stephaniewilliamson@example.com,27332,Femenino,Divorciado,Primaria,"Designer, television/film set",1978-01-07,Latvia,Wisconsin,West Jacob,Clínica Salud,Público,2024-06-27,Hipertensión,4,6,84.8,1.87,27.9,112/71,93,13,38.1,AB,-,Alimentos,0,Sí,3,2024-01-25,15,5,Ocasional,Sí,Sí,7,1,793,2846,1332,1
31,44013810,Baker,Jackson,Beth,52,"137 Stacey Springs Apt. 597
Sergiomouth, HI 96577",+51 912614124,nlyons@example.com,17564,Masculino,Viudo,Secundaria,Occupational therapist,1993-03-30,French Southern Territories,Utah,New William,Centro Médico Familiar,Público,2024-09-08,Diabetes,5,4,56.9,1.66,36.5,119/79,98,13,38.8,O,+,Polen,3,No,9,2024-05-27,7,1,Ninguno,No,No,2,2,1526,3444,1773,1
32,70582265,Carney,Randall,Robert,44,"070 Osborne Greens
New Allenview, TN 71254",+51 925014631,bradley78@example.org,17014,Femenino,Casado,Técnico,Risk manager,1973-12-21,Hungary,Tennessee,Jefferybury,Hospital Central,Público,2020-04-30,Cardiopatía,3,8,80.8,1.8,25.8,101/86,92,20,38.4,AB,+,Alimentos,1,Sí,2,2024-08-03,2,1,Ninguno,Sí,Sí,6,10,615,8772,4365,3
33,30067799,Cooper,Perez,Javier,32,"764 Destiny Groves
South Larryview, NC 99405",+51 958718453,gsmith@example.org,46256,Masculino,Soltero,Secundaria,Computer games developer,1973-09-30,Turkey,Colorado,West Kent,Centro Médico Familiar,Privado,2024-04-14,Diabetes,0,2,79.3,1.84,35.0,133/82,72,14,36.7,AB,-,Polen,1,Sí,0,2024-10-25,14,8,Ocasional,Sí,Sí,4,3,561,9151,285,4
34,47321262,Davis,Foster,Brandon,46,"406 Huffman Center Suite 765
Kristenberg, NV 05162",+51 951273847,jonathan51@example.net,20187,Femenino,Viudo,Primaria,"Nurse, children's",1944-05-17,Afghanistan,South Dakota,Lake Edward,Hospital Central,Privado,2024-07-20,Diabetes,1,5,62.1,1.66,39.0,109/89,85,18,37.8,O,+,Medicamentos,1,Sí,8,2024-07-22,9,10,Ninguno,No,No,10,10,1335,3888,2501,1
35,64703403,Mcdaniel,Armstrong,Melissa,55,"69712 Conrad Route Apt. 177
Port Andresstad, SD 91500",+51 942138745,williampeterson@example.net,27848,Femenino,Divorciado,Universitario,Logistics and distribution manager,2004-07-14,Nigeria,Georgia,Lorichester,Centro Médico Familiar,Público,2024-05-25,Cardiopatía,0,8,83.5,1.65,27.0,129/78,78,13,36.5,A,+,Ninguna,3,No,6,2024-06-27,11,1,Ocasional,No,No,7,3,280,3617,3512,5
36,24333090,Adams,Mueller,Robert,35,"9597 Solomon Passage Suite 830
Michaelview, NM 15974",+51 917774584,creynolds@example.net,28465,Femenino,Soltero,Primaria,Seismic interpreter,1962-05-12,Cayman Islands,Missouri,Brentport,Centro Médico Familiar,Mixto,2020-02-25,Hipertensión,1,4,76.6,1.57,35.1,95/81,63,12,36.9,B,+,Alimentos,2,Sí,7,2024-08-23,13,0,Frecuente,No,Sí,7,8,986,1706,4535,3
37,12906084,Chapman,Aguirre,Michael,69,"3358 Beck Locks Apt. 954
Angelview, ME 99233",+51 942329237,simpsoncathy@example.org,49638,Masculino,Soltero,Primaria,Publishing rights manager,1961-02-09,Tokelau,North Dakota,Martinland,Centro Médico Familiar,Público,2020-09-28,Ninguno,5,3,81.9,1.83,19.1,98/70,75,18,38.1,O,+,Ninguna,1,Sí,8,2024-03-27,8,2,Frecuente,No,No,10,6,1553,1885,1181,5
38,27135947,Ramos,Francis,David,73,"06543 Juan Square
New John, IA 89989",+51 986149359,tford@example.net,23803,Masculino,Divorciado,Universitario,Retail manager,1976-06-16,United Kingdom,Vermont,Amyberg,Clínica Salud,Privado,2023-05-12,Hipertensión,2,2,52.6,1.61,24.4,97/67,91,14,36.4,B,+,Ninguna,2,Sí,0,2024-07-10,4,2,Ninguno,No,No,6,3,591,6966,3982,4
39,86195556,Buck,Palmer,Tara,18,"06486 Garcia Drive
Grantfurt, TN 15013",+51 920570592,ohorton@example.com,32471,Masculino,Divorciado,Secundaria,"Engineer, energy",1964-11-30,Sierra Leone,Mississippi,North Tommy,Clínica Salud,Privado,2023-05-26,Hipertensión,2,1,70.7,1.65,39.8,109/63,84,15,38.2,O,+,Alimentos,2,No,8,2024-10-06,9,0,Frecuente,No,Sí,9,5,812,5670,2940,5
40,68311586,Simpson,Waller,Kevin,66,"Unit 0095 Box 9957
DPO AA 52231",+51 921496211,morganclinton@example.org,23342,Masculino,Soltero,Técnico,Midwife,1956-07-20,Syrian Arab Republic,South Carolina,Port Jimmy,Centro Médico Familiar,Público,2024-08-27,Hipertensión,3,5,85.9,1.53,29.0,101/71,67,16,38.8,O,+,Alimentos,0,Sí,5,2024-09-13,0,3,Ocasional,Sí,Sí,4,4,1625,4433,3541,4
41,57198208,Rice,Fisher,Caroline,69,"32199 Donaldson Islands Suite 358
West Aaron, OK 06928",+51 975228535,ana61@example.org,27300,Femenino,Soltero,Primaria,Hospital pharmacist,2001-11-06,Taiwan,North Carolina,East Deanna,Hospital Central,Mixto,2020-01-25,Hipertensión,4,7,55.0,1.97,26.1,134/64,75,16,38.8,AB,+,Polen,1,Sí,6,2024-11-13,0,1,Ocasional,Sí,Sí,3,8,998,8121,3736,3
42,10947406,Moreno,James,Robert,28,"PSC 3912, Box 1929
APO AE 31226",+51 919289546,saundersdaniel@example.org,43122,Masculino,Casado,Primaria,Chief Operating Officer,1975-02-12,French Polynesia,North Dakota,East Teresa,Hospital Central,Mixto,2020-02-18,Ninguno,0,10,88.5,1.94,38.7,122/72,91,17,37.2,A,-,Alimentos,0,No,10,2024-05-02,4,7,Ninguno,Sí,No,2,3,418,5118,275,4
43,36346575,Mitchell,Johnson,Brian,62,"9671 Munoz Points Apt. 415
South Joshua, MI 07354",+51 981498611,coxdonald@example.net,42016,Masculino,Casado,Técnico,Media buyer,1956-11-07,Svalbard & Jan Mayen Islands,Pennsylvania,Juliaview,Clínica Salud,Privado,2022-07-29,Diabetes,4,7,50.3,1.96,27.8,116/79,100,18,39.0,B,+,Ninguna,0,No,2,2024-08-10,11,3,Ocasional,Sí,No,10,9,1491,6477,2488,1
44,49451049,Jarvis,Marks,Alyssa,45,"Unit 6310 Box 9946
DPO AP 02237",+51 926879290,laurie65@example.org,26457,Masculino,Viudo,Primaria,Health and safety adviser,2006-08-21,Cyprus,Kentucky,North Russellside,Clínica Salud,Mixto,2022-08-17,Ninguno,1,4,77.5,1.81,33.1,98/78,98,17,38.9,A,-,Ninguna,0,No,7,2024-08-04,9,1,Frecuente,Sí,Sí,8,1,1610,8424,1648,3
45,10963518,Davis,King,Michael,39,"359 Murray Circles Suite 296
Jonathanland, SD 79873",+51 927232410,jenniferfoster@example.net,13329,Femenino,Soltero,Técnico,Cabin crew,1972-04-12,Montenegro,North Carolina,Lake Aimee,Clínica Salud,Mixto,2022-07-21,Cardiopatía,5,3,96.5,1.71,32.7,114/73,64,17,36.1,AB,-,Alimentos,3,Sí,1,2024-11-09,15,0,Ocasional,Sí,No,2,6,935,1709,615,5
46,78959052,Bradshaw,Tapia,Anthony,35,"55945 Ashley Junctions Apt. 327
West Rachelhaven, WV 35867",+51 998550256,karendavis@example.net,16048,Femenino,Casado,Técnico,Recycling officer,1944-06-29,Algeria,Washington,Hectorville,Centro Médico Familiar,Mixto,2024-07-29,Hipertensión,3,6,70.3,1.75,20.3,101/75,93,19,37.8,O,+,Alimentos,0,No,8,2024-03-11,0,9,Frecuente,No,No,10,2,1196,2710,280,5
47,73217367,Harris,Mata,Claudia,27,"932 Little Estate
East Thomas, ND 06037",+51 973791320,ilowe@example.net,37759,Femenino,Soltero,Técnico,Amenity horticulturist,1986-06-12,Niue,Missouri,Kingbury,Hospital Central,Público,2024-03-11,Ninguno,2,10,96.8,1.99,31.8,130/77,60,16,38.8,B,+,Polen,2,Sí,7,2024-08-22,15,10,Ninguno,Sí,No,10,3,373,1859,2003,1
48,12605088,Lyons,Turner,Christopher,31,"84886 Mayer Ramp Apt. 321
Nathanville, FM 43337",+51 983793389,randolphcarla@example.com,28132,Femenino,Divorciado,Universitario,Housing manager/officer,1959-03-16,Svalbard & Jan Mayen Islands,Connecticut,Owensstad,Clínica Salud,Privado,2020-11-18,Cardiopatía,2,6,93.9,1.97,35.7,134/89,83,15,38.9,A,+,Polen,1,No,5,2024-09-25,15,6,Ninguno,Sí,Sí,8,10,1495,9804,4356,3
49,28095228,Benton,Jackson,Sean,79,"3497 Nancy Track Apt. 958
Lloydchester, GU 16023",+51 932162965,dmorgan@example.net,12889,Femenino,Casado,Secundaria,"Psychotherapist, child",1995-03-18,Gambia,New Mexico,Port Toddstad,Centro Médico Familiar,Público,2021-11-06,Ninguno,3,4,73.9,1.84,33.8,131/89,80,13,36.7,B,+,Polen,2,No,0,2024-05-01,9,10,Ocasional,Sí,Sí,6,3,1096,3881,2851,2
50,34498419,Porter,Crawford,Joe,66,"92974 Jessica Trail
Lake Ginaburgh, MA 75886",+51 945575298,karenpatton@example.com,10232,Masculino,Divorciado,Secundaria,"Presenter, broadcasting",1993-04-27,Mongolia,Iowa,Jasminestad,Clínica Salud,Mixto,2024-12-05,Hipertensión,0,3,60.0,1.89,20.3,101/77,68,15,37.7,B,+,Ninguna,1,No,0,2024-04-19,0,7,Frecuente,Sí,No,9,8,1705,3589,3472,5
51,64030788,Hartman,King,Kimberly,39,"417 Watts Inlet
Stephaniehaven, LA 79906",+51 980823176,jacksonjacob@example.com,31859,Masculino,Divorciado,Universitario,Water engineer,2006-03-18,American Samoa,Arkansas,Kathyfort,Hospital Central,Privado,2022-11-28,Hipertensión,4,8,98.2,1.66,21.8,100/75,84,14,38.8,B,+,Alimentos,3,Sí,10,2024-03-25,13,8,Ninguno,No,No,2,7,588,1476,4840,1
52,81684196,White,Francis,Diamond,24,"480 Rebecca Club
Dunlapside, SC 09635",+51 991415657,porterjodi@example.com,18573,Femenino,Divorciado,Secundaria,Copy,1953-03-18,Equatorial Guinea,Nevada,Rossside,Hospital Central,Público,2022-06-05,Cardiopatía,1,9,66.1,1.71,33.8,108/64,96,13,36.4,A,-,Medicamentos,1,No,3,2024-06-12,9,9,Ocasional,Sí,No,8,7,486,8947,2908,2
53,45615401,Powell,Holmes,Daniel,23,"34449 Tim Park
Jamestown, UT 27836",+51 966792612,caseyfreeman@example.net,27167,Femenino,Viudo,Secundaria,Company secretary,1987-04-16,Guinea,Rhode Island,North Lisa,Clínica Salud,Privado,2020-09-05,Ninguno,4,8,82.3,1.57,32.1,101/70,86,14,38.2,B,-,Alimentos,1,Sí,6,2024-11-15,7,9,Ocasional,No,Sí,3,4,273,9436,2773,3
54,72383067,Jensen,Powell,Cynthia,42,"785 Julie Field
Port Jill, HI 81423",+51 938427073,vwilson@example.org,20589,Masculino,Divorciado,Secundaria,"Designer, ceramics/pottery",1950-06-24,Niger,Missouri,New Benjamin,Centro Médico Familiar,Público,2020-05-30,Hipertensión,2,8,95.4,1.69,34.4,118/79,83,13,36.7,A,-,Alimentos,1,No,9,2024-04-29,0,4,Frecuente,Sí,Sí,5,8,595,2901,4082,4
55,65272580,Garza,Durham,Michael,24,"003 Catherine Light Suite 728
Lake Adam, AL 91882",+51 982383095,jenniferfoster@example.com,38956,Femenino,Viudo,Primaria,"Nurse, mental health",1979-01-05,Tunisia,Massachusetts,Bakerchester,Hospital Central,Privado,2024-02-06,Cardiopatía,3,5,54.5,1.88,25.3,93/87,94,14,38.9,O,+,Polen,1,No,1,2024-01-30,11,0,Frecuente,No,Sí,7,3,251,2160,4960,2
56,65395940,Jackson,Smith,Eric,40,"3603 Thomas Centers
Williamsfort, RI 09041",+51 936998038,wanda32@example.com,46154,Femenino,Soltero,Universitario,"Engineer, maintenance",1954-09-23,New Caledonia,Wisconsin,North Christopher,Hospital Central,Público,2020-06-10,Ninguno,2,8,78.7,1.74,20.8,112/90,71,19,36.5,A,-,Medicamentos,2,Sí,5,2024-09-16,6,5,Ninguno,No,No,2,4,1674,4855,4443,3
57,24189072,Kelley,Mora,Rebecca,72,"401 Butler Camp
North Nicolasfort, MH 20559",+51 951837852,slawson@example.com,38028,Masculino,Soltero,Secundaria,Advertising art director,1985-06-18,Poland,Nevada,East Teresa,Hospital Central,Mixto,2022-01-14,Ninguno,5,1,76.8,1.92,18.6,90/75,90,19,38.7,AB,-,Alimentos,1,Sí,5,2024-07-21,13,3,Frecuente,Sí,No,10,10,1414,8287,4593,2
